sample_id,study_name,PMID,sample_accession,study_accession,bedaquiline,clofazimine,linezolid,delamanid,delamanid
SRR6824682,gomes2021;huang2019,,SRR6824682,NA,0,0,NA,0,
SRR6824447,gomes2021;huang2019,,SRR6824447,NA,0,0,NA,0,
SRR6824494,gomes2021;huang2019,,SRR6824494,NA,0,0,NA,0,
SRR6824495,gomes2021;huang2019,,SRR6824495,NA,0,0,NA,0,
SRR6824489,gomes2021;huang2019,,SRR6824489,NA,NA,0,NA,NA,
SRR6824612,gomes2021;huang2019,,SRR6824612,NA,0,0,NA,0,
SRR6824606,gomes2021;huang2019,,SRR6824606,NA,0,0,NA,0,
SRR6824461,gomes2021;huang2019,,SRR6824461,NA,0,0,NA,0,
SRR6824468,gomes2021;huang2019,,SRR6824468,NA,0,0,NA,0,
SRR6824582,gomes2021;huang2019,,SRR6824582,NA,0,0,NA,0,
SRR6824581,huang2019,,SRR6824581,NA,0,0,0,0,
SRR6824584,gomes2021;huang2019,,SRR6824584,NA,0,0,NA,0,
SRR6824389,gomes2021;huang2019,,SRR6824389,NA,0,0,NA,0,
SRR6824536,gomes2021;huang2019,,SRR6824536,NA,0,0,NA,0,
SRR6824532,gomes2021;huang2019,,SRR6824532,NA,0,0,NA,0,
SRR6824473,gomes2021;huang2019,,SRR6824473,NA,0,0,NA,0,
SRR6824355,gomes2021;huang2019,,SRR6824355,NA,0,0,NA,0,
SRR6824353,gomes2021;huang2019,,SRR6824353,NA,0,0,NA,0,
SRR6824704,gomes2021;huang2019,,SRR6824704,NA,0,0,NA,0,
SRR6824702,huang2019,,SRR6824702,NA,0,0,0,0,
SRR6824700,gomes2021;huang2019,,SRR6824700,NA,0,0,NA,0,
SRR6824699,gomes2021;huang2019,,SRR6824699,NA,0,0,NA,0,
SRR6824698,gomes2021;huang2019,,SRR6824698,NA,0,0,NA,0,
SRR6824590,gomes2021;huang2019,,SRR6824590,NA,0,0,NA,0,
SRR6824297,gomes2021;huang2019,,SRR6824297,NA,0,1,NA,0,
SRR6824681,gomes2021;huang2019,,SRR6824681,NA,0,0,NA,0,
SRR6824687,gomes2021;huang2019,,SRR6824687,NA,0,0,NA,0,
SRR6824330,gomes2021;huang2019,,SRR6824330,NA,0,0,NA,0,
SRR6824328,gomes2021;huang2019,,SRR6824328,NA,0,0,NA,0,
