sample_id,study_name,PMID,sample_accession,study_accession,bedaquiline,clofazimine,linezolid,delamanid,pretomanid
TNZ-1,"Mbelele PM, 2022",35465240,ERR4596895,PRJE9680,NA,0.06,NA,NA,NA
TNZ-2,"Mbelele PM, 2022",35465240,ERR4596896,PRJE9680,NA,0.12,NA,NA,NA
TNZ-3,"Mbelele PM, 2022",35465240,ERR4596897,PRJE9680,NA,0.12,NA,NA,NA
TNZ-4,"Mbelele PM, 2022",35465240,ERR4596898,PRJE9680,NA,0.06,NA,NA,NA
TNZ-5,"Mbelele PM, 2022",35465240,ERR4596899,PRJE9680,NA,0.12,NA,NA,NA
TNZ-6,"Mbelele PM, 2022",35465240,ERR4596900,PRJE9680,NA,0.06,NA,NA,NA
TNZ-7,"Mbelele PM, 2022",35465240,ERR4596901,PRJE9680,NA,0.25,NA,NA,NA
TNZ-9,"Mbelele PM, 2022",35465240,ERR4596903,PRJE9680,NA,0.12,NA,NA,NA
TNZ-11,"Mbelele PM, 2022",35465240,ERR4596905,PRJE9680,NA,0.06,NA,NA,NA
TNZ-13,"Mbelele PM, 2022",35465240,ERR4596907,PRJE9680,NA,0.06,NA,NA,NA
TNZ-14,"Mbelele PM, 2022",35465240,ERR4596908,PRJE9680,NA,0.25,NA,NA,NA
TNZ-15,"Mbelele PM, 2022",35465240,ERR4596909,PRJE9680,NA,0.12,NA,NA,NA
TNZ-17,"Mbelele PM, 2022",35465240,ERR4596911,PRJE9680,NA,1,NA,NA,NA
TNZ-18,"Mbelele PM, 2022",35465240,ERR4596912,PRJE9680,NA,0.06,NA,NA,NA
TNZ-19,"Mbelele PM, 2022",35465240,ERR4596913,PRJE9680,NA,0.06,NA,NA,NA
TNZ-20,"Mbelele PM, 2022",35465240,ERR4596914,PRJE9680,NA,0.12,NA,NA,NA
TNZ-21,"Mbelele PM, 2022",35465240,ERR4596915,PRJE9680,NA,0.5,NA,NA,NA
TNZ-22,"Mbelele PM, 2022",35465240,ERR4596916,PRJE9680,NA,2,NA,NA,NA
TNZ-23,"Mbelele PM, 2022",35465240,ERR4596917,PRJE9680,NA,0.25,NA,NA,NA
TNZ-24,"Mbelele PM, 2022",35465240,ERR4596918,PRJE9680,NA,0.5,NA,NA,NA
TNZ-25,"Mbelele PM, 2022",35465240,ERR4596919,PRJE9680,NA,0.25,NA,NA,NA
TNZ-26,"Mbelele PM, 2022",35465240,ERR4596920,PRJE9680,NA,0.12,NA,NA,NA
TNZ-27,"Mbelele PM, 2022",35465240,ERR4596921,PRJE9680,NA,0.12,NA,NA,NA
TNZ-28,"Mbelele PM, 2022",35465240,ERR4596922,PRJE9680,NA,0.25,NA,NA,NA
TNZ-29,"Mbelele PM, 2022",35465240,ERR4596923,PRJE9680,NA,0.12,NA,NA,NA
